category,vehicle_id,view_index,condition,severity,source_png,web_jpg,width,height,jpeg_quality,bytes
clean_control,21472,4,illumination,1.0,clean_control/vehicle_21472/view_04_021472_003.png,web/illumination/clean_control/vehicle_21472/view_04.jpg,249,224,95,26914
clean_control,21472,4,motion_blur,0.8,clean_control/vehicle_21472/view_04_021472_003.png,web/motion_blur/clean_control/vehicle_21472/view_04.jpg,249,224,95,17696
clean_control,21472,4,sensor_noise,0.6,clean_control/vehicle_21472/view_04_021472_003.png,web/sensor_noise/clean_control/vehicle_21472/view_04.jpg,249,224,95,52538
clean_control,21575,1,clean,0.0,clean_control/vehicle_21575/view_01_021575_000.png,web/clean/clean_control/vehicle_21575/view_01.jpg,138,108,95,8455
clean_control,21575,1,illumination,1.0,clean_control/vehicle_21575/view_01_021575_000.png,web/illumination/clean_control/vehicle_21575/view_01.jpg,138,108,95,9491
clean_control,21575,1,motion_blur,0.8,clean_control/vehicle_21575/view_01_021575_000.png,web/motion_blur/clean_control/vehicle_21575/view_01.jpg,138,108,95,5751
clean_control,21575,1,sensor_noise,0.6,clean_control/vehicle_21575/view_01_021575_000.png,web/sensor_noise/clean_control/vehicle_21575/view_01.jpg,138,108,95,15639
clean_control,21575,2,clean,0.0,clean_control/vehicle_21575/view_02_021575_001.png,web/clean/clean_control/vehicle_21575/view_02.jpg,132,104,95,7580
clean_control,21575,2,illumination,1.0,clean_control/vehicle_21575/view_02_021575_001.png,web/illumination/clean_control/vehicle_21575/view_02.jpg,132,104,95,8541
clean_control,21575,2,motion_blur,0.8,clean_control/vehicle_21575/view_02_021575_001.png,web/motion_blur/clean_control/vehicle_21575/view_02.jpg,132,104,95,5129
clean_control,21575,2,sensor_noise,0.6,clean_control/vehicle_21575/view_02_021575_001.png,web/sensor_noise/clean_control/vehicle_21575/view_02.jpg,132,104,95,14222
clean_control,21575,3,clean,0.0,clean_control/vehicle_21575/view_03_021575_002.png,web/clean/clean_control/vehicle_21575/view_03.jpg,128,102,95,7113
clean_control,21575,3,illumination,1.0,clean_control/vehicle_21575/view_03_021575_002.png,web/illumination/clean_control/vehicle_21575/view_03.jpg,128,102,95,7987
clean_control,21575,3,motion_blur,0.8,clean_control/vehicle_21575/view_03_021575_002.png,web/motion_blur/clean_control/vehicle_21575/view_03.jpg,128,102,95,4931
clean_control,21575,3,sensor_noise,0.6,clean_control/vehicle_21575/view_03_021575_002.png,web/sensor_noise/clean_control/vehicle_21575/view_03.jpg,128,102,95,13265
clean_control,21575,4,clean,0.0,clean_control/vehicle_21575/view_04_021575_003.png,web/clean/clean_control/vehicle_21575/view_04.jpg,124,100,95,7090
clean_control,21575,4,illumination,1.0,clean_control/vehicle_21575/view_04_021575_003.png,web/illumination/clean_control/vehicle_21575/view_04.jpg,124,100,95,8010
clean_control,21575,4,motion_blur,0.8,clean_control/vehicle_21575/view_04_021575_003.png,web/motion_blur/clean_control/vehicle_21575/view_04.jpg,124,100,95,4897
clean_control,21575,4,sensor_noise,0.6,clean_control/vehicle_21575/view_04_021575_003.png,web/sensor_noise/clean_control/vehicle_21575/view_04.jpg,124,100,95,13241
clean_control,21579,1,clean,0.0,clean_control/vehicle_21579/view_01_021579_000.png,web/clean/clean_control/vehicle_21579/view_01.jpg,90,110,95,4793
clean_control,21579,1,illumination,1.0,clean_control/vehicle_21579/view_01_021579_000.png,web/illumination/clean_control/vehicle_21579/view_01.jpg,90,110,95,3831
clean_control,21579,1,motion_blur,0.8,clean_control/vehicle_21579/view_01_021579_000.png,web/motion_blur/clean_control/vehicle_21579/view_01.jpg,90,110,95,3743
clean_control,21579,1,sensor_noise,0.6,clean_control/vehicle_21579/view_01_021579_000.png,web/sensor_noise/clean_control/vehicle_21579/view_01.jpg,90,110,95,9978
clean_control,21579,2,clean,0.0,clean_control/vehicle_21579/view_02_021579_001.png,web/clean/clean_control/vehicle_21579/view_02.jpg,123,125,95,7403
clean_control,21579,2,illumination,1.0,clean_control/vehicle_21579/view_02_021579_001.png,web/illumination/clean_control/vehicle_21579/view_02.jpg,123,125,95,5850
clean_control,21579,2,motion_blur,0.8,clean_control/vehicle_21579/view_02_021579_001.png,web/motion_blur/clean_control/vehicle_21579/view_02.jpg,123,125,95,5746
clean_control,21579,2,sensor_noise,0.6,clean_control/vehicle_21579/view_02_021579_001.png,web/sensor_noise/clean_control/vehicle_21579/view_02.jpg,123,125,95,15135
clean_control,21579,3,clean,0.0,clean_control/vehicle_21579/view_03_021579_002.png,web/clean/clean_control/vehicle_21579/view_03.jpg,154,125,95,9431
clean_control,21579,3,illumination,1.0,clean_control/vehicle_21579/view_03_021579_002.png,web/illumination/clean_control/vehicle_21579/view_03.jpg,154,125,95,7311
clean_control,21579,3,motion_blur,0.8,clean_control/vehicle_21579/view_03_021579_002.png,web/motion_blur/clean_control/vehicle_21579/view_03.jpg,154,125,95,6872
clean_control,21579,3,sensor_noise,0.6,clean_control/vehicle_21579/view_03_021579_002.png,web/sensor_noise/clean_control/vehicle_21579/view_03.jpg,154,125,95,18965
clean_control,21579,4,clean,0.0,clean_control/vehicle_21579/view_04_021579_003.png,web/clean/clean_control/vehicle_21579/view_04.jpg,177,121,95,9945
clean_control,21579,4,illumination,1.0,clean_control/vehicle_21579/view_04_021579_003.png,web/illumination/clean_control/vehicle_21579/view_04.jpg,177,121,95,7598
clean_control,21579,4,motion_blur,0.8,clean_control/vehicle_21579/view_04_021579_003.png,web/motion_blur/clean_control/vehicle_21579/view_04.jpg,177,121,95,7472
clean_control,21579,4,sensor_noise,0.6,clean_control/vehicle_21579/view_04_021579_003.png,web/sensor_noise/clean_control/vehicle_21579/view_04.jpg,177,121,95,21078
difficult_unrecovered,20737,1,clean,0.0,difficult_unrecovered/vehicle_20737/view_01_020737_000.png,web/clean/difficult_unrecovered/vehicle_20737/view_01.jpg,90,135,95,4938
difficult_unrecovered,20737,1,illumination,1.0,difficult_unrecovered/vehicle_20737/view_01_020737_000.png,web/illumination/difficult_unrecovered/vehicle_20737/view_01.jpg,90,135,95,5192
difficult_unrecovered,20737,1,motion_blur,0.8,difficult_unrecovered/vehicle_20737/view_01_020737_000.png,web/motion_blur/difficult_unrecovered/vehicle_20737/view_01.jpg,90,135,95,3715
difficult_unrecovered,20737,1,sensor_noise,0.6,difficult_unrecovered/vehicle_20737/view_01_020737_000.png,web/sensor_noise/difficult_unrecovered/vehicle_20737/view_01.jpg,90,135,95,12215
difficult_unrecovered,20737,2,clean,0.0,difficult_unrecovered/vehicle_20737/view_02_020737_001.png,web/clean/difficult_unrecovered/vehicle_20737/view_02.jpg,110,130,95,5300
difficult_unrecovered,20737,2,illumination,1.0,difficult_unrecovered/vehicle_20737/view_02_020737_001.png,web/illumination/difficult_unrecovered/vehicle_20737/view_02.jpg,110,130,95,5548
difficult_unrecovered,20737,2,motion_blur,0.8,difficult_unrecovered/vehicle_20737/view_02_020737_001.png,web/motion_blur/difficult_unrecovered/vehicle_20737/view_02.jpg,110,130,95,4286
difficult_unrecovered,20737,2,sensor_noise,0.6,difficult_unrecovered/vehicle_20737/view_02_020737_001.png,web/sensor_noise/difficult_unrecovered/vehicle_20737/view_02.jpg,110,130,95,14073
difficult_unrecovered,20737,3,clean,0.0,difficult_unrecovered/vehicle_20737/view_03_020737_002.png,web/clean/difficult_unrecovered/vehicle_20737/view_03.jpg,126,124,95,5398
difficult_unrecovered,20737,3,illumination,1.0,difficult_unrecovered/vehicle_20737/view_03_020737_002.png,web/illumination/difficult_unrecovered/vehicle_20737/view_03.jpg,126,124,95,5667
difficult_unrecovered,20737,3,motion_blur,0.8,difficult_unrecovered/vehicle_20737/view_03_020737_002.png,web/motion_blur/difficult_unrecovered/vehicle_20737/view_03.jpg,126,124,95,4252
difficult_unrecovered,20737,3,sensor_noise,0.6,difficult_unrecovered/vehicle_20737/view_03_020737_002.png,web/sensor_noise/difficult_unrecovered/vehicle_20737/view_03.jpg,126,124,95,15247
difficult_unrecovered,20737,4,clean,0.0,difficult_unrecovered/vehicle_20737/view_04_020737_003.png,web/clean/difficult_unrecovered/vehicle_20737/view_04.jpg,126,119,95,5072
difficult_unrecovered,20737,4,illumination,1.0,difficult_unrecovered/vehicle_20737/view_04_020737_003.png,web/illumination/difficult_unrecovered/vehicle_20737/view_04.jpg,126,119,95,5414
difficult_unrecovered,20737,4,motion_blur,0.8,difficult_unrecovered/vehicle_20737/view_04_020737_003.png,web/motion_blur/difficult_unrecovered/vehicle_20737/view_04.jpg,126,119,95,3925
difficult_unrecovered,20737,4,sensor_noise,0.6,difficult_unrecovered/vehicle_20737/view_04_020737_003.png,web/sensor_noise/difficult_unrecovered/vehicle_20737/view_04.jpg,126,119,95,15100
difficult_unrecovered,20759,1,clean,0.0,difficult_unrecovered/vehicle_20759/view_01_020759_000.png,web/clean/difficult_unrecovered/vehicle_20759/view_01.jpg,108,84,95,4586
difficult_unrecovered,20759,1,illumination,1.0,difficult_unrecovered/vehicle_20759/view_01_020759_000.png,web/illumination/difficult_unrecovered/vehicle_20759/view_01.jpg,108,84,95,4800
difficult_unrecovered,20759,1,motion_blur,0.8,difficult_unrecovered/vehicle_20759/view_01_020759_000.png,web/motion_blur/difficult_unrecovered/vehicle_20759/view_01.jpg,108,84,95,3678
difficult_unrecovered,20759,1,sensor_noise,0.6,difficult_unrecovered/vehicle_20759/view_01_020759_000.png,web/sensor_noise/difficult_unrecovered/vehicle_20759/view_01.jpg,108,84,95,9883
difficult_unrecovered,20759,2,clean,0.0,difficult_unrecovered/vehicle_20759/view_02_020759_001.png,web/clean/difficult_unrecovered/vehicle_20759/view_02.jpg,112,91,95,4941
difficult_unrecovered,20759,2,illumination,1.0,difficult_unrecovered/vehicle_20759/view_02_020759_001.png,web/illumination/difficult_unrecovered/vehicle_20759/view_02.jpg,112,91,95,5109
difficult_unrecovered,20759,2,motion_blur,0.8,difficult_unrecovered/vehicle_20759/view_02_020759_001.png,web/motion_blur/difficult_unrecovered/vehicle_20759/view_02.jpg,112,91,95,3993
difficult_unrecovered,20759,2,sensor_noise,0.6,difficult_unrecovered/vehicle_20759/view_02_020759_001.png,web/sensor_noise/difficult_unrecovered/vehicle_20759/view_02.jpg,112,91,95,10645
difficult_unrecovered,20759,3,clean,0.0,difficult_unrecovered/vehicle_20759/view_03_020759_002.png,web/clean/difficult_unrecovered/vehicle_20759/view_03.jpg,116,97,95,5373
difficult_unrecovered,20759,3,illumination,1.0,difficult_unrecovered/vehicle_20759/view_03_020759_002.png,web/illumination/difficult_unrecovered/vehicle_20759/view_03.jpg,116,97,95,5539
difficult_unrecovered,20759,3,motion_blur,0.8,difficult_unrecovered/vehicle_20759/view_03_020759_002.png,web/motion_blur/difficult_unrecovered/vehicle_20759/view_03.jpg,116,97,95,4391
difficult_unrecovered,20759,3,sensor_noise,0.6,difficult_unrecovered/vehicle_20759/view_03_020759_002.png,web/sensor_noise/difficult_unrecovered/vehicle_20759/view_03.jpg,116,97,95,11940
difficult_unrecovered,20759,4,clean,0.0,difficult_unrecovered/vehicle_20759/view_04_020759_003.png,web/clean/difficult_unrecovered/vehicle_20759/view_04.jpg,117,105,95,5771
difficult_unrecovered,20759,4,illumination,1.0,difficult_unrecovered/vehicle_20759/view_04_020759_003.png,web/illumination/difficult_unrecovered/vehicle_20759/view_04.jpg,117,105,95,5856
difficult_unrecovered,20759,4,motion_blur,0.8,difficult_unrecovered/vehicle_20759/view_04_020759_003.png,web/motion_blur/difficult_unrecovered/vehicle_20759/view_04.jpg,117,105,95,4713
difficult_unrecovered,20759,4,sensor_noise,0.6,difficult_unrecovered/vehicle_20759/view_04_020759_003.png,web/sensor_noise/difficult_unrecovered/vehicle_20759/view_04.jpg,117,105,95,12930
difficult_unrecovered,21121,1,clean,0.0,difficult_unrecovered/vehicle_21121/view_01_021121_000.png,web/clean/difficult_unrecovered/vehicle_21121/view_01.jpg,108,96,95,4653
difficult_unrecovered,21121,1,illumination,1.0,difficult_unrecovered/vehicle_21121/view_01_021121_000.png,web/illumination/difficult_unrecovered/vehicle_21121/view_01.jpg,108,96,95,4030
difficult_unrecovered,21121,1,motion_blur,0.8,difficult_unrecovered/vehicle_21121/view_01_021121_000.png,web/motion_blur/difficult_unrecovered/vehicle_21121/view_01.jpg,108,96,95,3965
difficult_unrecovered,21121,1,sensor_noise,0.6,difficult_unrecovered/vehicle_21121/view_01_021121_000.png,web/sensor_noise/difficult_unrecovered/vehicle_21121/view_01.jpg,108,96,95,10629
difficult_unrecovered,21121,2,clean,0.0,difficult_unrecovered/vehicle_21121/view_02_021121_001.png,web/clean/difficult_unrecovered/vehicle_21121/view_02.jpg,110,105,95,5213
difficult_unrecovered,21121,2,illumination,1.0,difficult_unrecovered/vehicle_21121/view_02_021121_001.png,web/illumination/difficult_unrecovered/vehicle_21121/view_02.jpg,110,105,95,4449
difficult_unrecovered,21121,2,motion_blur,0.8,difficult_unrecovered/vehicle_21121/view_02_021121_001.png,web/motion_blur/difficult_unrecovered/vehicle_21121/view_02.jpg,110,105,95,4351
difficult_unrecovered,21121,2,sensor_noise,0.6,difficult_unrecovered/vehicle_21121/view_02_021121_001.png,web/sensor_noise/difficult_unrecovered/vehicle_21121/view_02.jpg,110,105,95,11945
difficult_unrecovered,21121,3,clean,0.0,difficult_unrecovered/vehicle_21121/view_03_021121_002.png,web/clean/difficult_unrecovered/vehicle_21121/view_03.jpg,112,114,95,5675
difficult_unrecovered,21121,3,illumination,1.0,difficult_unrecovered/vehicle_21121/view_03_021121_002.png,web/illumination/difficult_unrecovered/vehicle_21121/view_03.jpg,112,114,95,4757
difficult_unrecovered,21121,3,motion_blur,0.8,difficult_unrecovered/vehicle_21121/view_03_021121_002.png,web/motion_blur/difficult_unrecovered/vehicle_21121/view_03.jpg,112,114,95,4729
difficult_unrecovered,21121,3,sensor_noise,0.6,difficult_unrecovered/vehicle_21121/view_03_021121_002.png,web/sensor_noise/difficult_unrecovered/vehicle_21121/view_03.jpg,112,114,95,13029
difficult_unrecovered,21121,4,clean,0.0,difficult_unrecovered/vehicle_21121/view_04_021121_003.png,web/clean/difficult_unrecovered/vehicle_21121/view_04.jpg,114,110,95,5512
difficult_unrecovered,21121,4,illumination,1.0,difficult_unrecovered/vehicle_21121/view_04_021121_003.png,web/illumination/difficult_unrecovered/vehicle_21121/view_04.jpg,114,110,95,4647
difficult_unrecovered,21121,4,motion_blur,0.8,difficult_unrecovered/vehicle_21121/view_04_021121_003.png,web/motion_blur/difficult_unrecovered/vehicle_21121/view_04.jpg,114,110,95,4721
difficult_unrecovered,21121,4,sensor_noise,0.6,difficult_unrecovered/vehicle_21121/view_04_021121_003.png,web/sensor_noise/difficult_unrecovered/vehicle_21121/view_04.jpg,114,110,95,13130
recovered,21142,1,clean,0.0,recovered/vehicle_21142/view_01_021142_000.png,web/clean/recovered/vehicle_21142/view_01.jpg,113,117,95,5175
recovered,21142,1,illumination,1.0,recovered/vehicle_21142/view_01_021142_000.png,web/illumination/recovered/vehicle_21142/view_01.jpg,113,117,95,4254
recovered,21142,1,motion_blur,0.8,recovered/vehicle_21142/view_01_021142_000.png,web/motion_blur/recovered/vehicle_21142/view_01.jpg,113,117,95,3735
recovered,21142,1,sensor_noise,0.6,recovered/vehicle_21142/view_01_021142_000.png,web/sensor_noise/recovered/vehicle_21142/view_01.jpg,113,117,95,13732
recovered,21142,2,clean,0.0,recovered/vehicle_21142/view_02_021142_001.png,web/clean/recovered/vehicle_21142/view_02.jpg,117,123,95,5851
recovered,21142,2,illumination,1.0,recovered/vehicle_21142/view_02_021142_001.png,web/illumination/recovered/vehicle_21142/view_02.jpg,117,123,95,4753
recovered,21142,2,motion_blur,0.8,recovered/vehicle_21142/view_02_021142_001.png,web/motion_blur/recovered/vehicle_21142/view_02.jpg,117,123,95,4146
recovered,21142,2,sensor_noise,0.6,recovered/vehicle_21142/view_02_021142_001.png,web/sensor_noise/recovered/vehicle_21142/view_02.jpg,117,123,95,15019
recovered,21142,3,clean,0.0,recovered/vehicle_21142/view_03_021142_002.png,web/clean/recovered/vehicle_21142/view_03.jpg,136,138,95,6863
recovered,21142,3,illumination,1.0,recovered/vehicle_21142/view_03_021142_002.png,web/illumination/recovered/vehicle_21142/view_03.jpg,136,138,95,5536
recovered,21142,3,motion_blur,0.8,recovered/vehicle_21142/view_03_021142_002.png,web/motion_blur/recovered/vehicle_21142/view_03.jpg,136,138,95,4796
recovered,21142,3,sensor_noise,0.6,recovered/vehicle_21142/view_03_021142_002.png,web/sensor_noise/recovered/vehicle_21142/view_03.jpg,136,138,95,18794
recovered,21142,4,clean,0.0,recovered/vehicle_21142/view_04_021142_003.png,web/clean/recovered/vehicle_21142/view_04.jpg,135,143,95,6920
recovered,21142,4,illumination,1.0,recovered/vehicle_21142/view_04_021142_003.png,web/illumination/recovered/vehicle_21142/view_04.jpg,135,143,95,5598
recovered,21142,4,motion_blur,0.8,recovered/vehicle_21142/view_04_021142_003.png,web/motion_blur/recovered/vehicle_21142/view_04.jpg,135,143,95,4879
recovered,21142,4,sensor_noise,0.6,recovered/vehicle_21142/view_04_021142_003.png,web/sensor_noise/recovered/vehicle_21142/view_04.jpg,135,143,95,18899
recovered,21763,1,clean,0.0,recovered/vehicle_21763/view_01_021763_000.png,web/clean/recovered/vehicle_21763/view_01.jpg,72,103,95,3905
recovered,21763,1,illumination,1.0,recovered/vehicle_21763/view_01_021763_000.png,web/illumination/recovered/vehicle_21763/view_01.jpg,72,103,95,3007
recovered,21763,1,motion_blur,0.8,recovered/vehicle_21763/view_01_021763_000.png,web/motion_blur/recovered/vehicle_21763/view_01.jpg,72,103,95,2848
recovered,21763,1,sensor_noise,0.6,recovered/vehicle_21763/view_01_021763_000.png,web/sensor_noise/recovered/vehicle_21763/view_01.jpg,72,103,95,7709
recovered,21763,2,clean,0.0,recovered/vehicle_21763/view_02_021763_001.png,web/clean/recovered/vehicle_21763/view_02.jpg,112,124,95,6964
recovered,21763,2,illumination,1.0,recovered/vehicle_21763/view_02_021763_001.png,web/illumination/recovered/vehicle_21763/view_02.jpg,112,124,95,5218
recovered,21763,2,motion_blur,0.8,recovered/vehicle_21763/view_02_021763_001.png,web/motion_blur/recovered/vehicle_21763/view_02.jpg,112,124,95,4731
recovered,21763,2,sensor_noise,0.6,recovered/vehicle_21763/view_02_021763_001.png,web/sensor_noise/recovered/vehicle_21763/view_02.jpg,112,124,95,13801
recovered,21763,3,clean,0.0,recovered/vehicle_21763/view_03_021763_002.png,web/clean/recovered/vehicle_21763/view_03.jpg,146,121,95,8803
recovered,21763,3,illumination,1.0,recovered/vehicle_21763/view_03_021763_002.png,web/illumination/recovered/vehicle_21763/view_03.jpg,146,121,95,6471
recovered,21763,3,motion_blur,0.8,recovered/vehicle_21763/view_03_021763_002.png,web/motion_blur/recovered/vehicle_21763/view_03.jpg,146,121,95,5933
recovered,21763,3,sensor_noise,0.6,recovered/vehicle_21763/view_03_021763_002.png,web/sensor_noise/recovered/vehicle_21763/view_03.jpg,146,121,95,17510
recovered,21763,4,clean,0.0,recovered/vehicle_21763/view_04_021763_003.png,web/clean/recovered/vehicle_21763/view_04.jpg,164,116,95,9339
recovered,21763,4,illumination,1.0,recovered/vehicle_21763/view_04_021763_003.png,web/illumination/recovered/vehicle_21763/view_04.jpg,164,116,95,6755
recovered,21763,4,motion_blur,0.8,recovered/vehicle_21763/view_04_021763_003.png,web/motion_blur/recovered/vehicle_21763/view_04.jpg,164,116,95,6252
recovered,21763,4,sensor_noise,0.6,recovered/vehicle_21763/view_04_021763_003.png,web/sensor_noise/recovered/vehicle_21763/view_04.jpg,164,116,95,19701
recovered,25244,1,clean,0.0,recovered/vehicle_25244/view_01_025244_000.png,web/clean/recovered/vehicle_25244/view_01.jpg,148,60,95,2704
recovered,25244,1,illumination,1.0,recovered/vehicle_25244/view_01_025244_000.png,web/illumination/recovered/vehicle_25244/view_01.jpg,148,60,95,2056
recovered,25244,1,motion_blur,0.8,recovered/vehicle_25244/view_01_025244_000.png,web/motion_blur/recovered/vehicle_25244/view_01.jpg,148,60,95,2366
recovered,25244,1,sensor_noise,0.6,recovered/vehicle_25244/view_01_025244_000.png,web/sensor_noise/recovered/vehicle_25244/view_01.jpg,148,60,95,9118
recovered,25244,2,clean,0.0,recovered/vehicle_25244/view_02_025244_001.png,web/clean/recovered/vehicle_25244/view_02.jpg,152,82,95,3740
recovered,25244,2,illumination,1.0,recovered/vehicle_25244/view_02_025244_001.png,web/illumination/recovered/vehicle_25244/view_02.jpg,152,82,95,2565
recovered,25244,2,motion_blur,0.8,recovered/vehicle_25244/view_02_025244_001.png,web/motion_blur/recovered/vehicle_25244/view_02.jpg,152,82,95,3116
recovered,25244,2,sensor_noise,0.6,recovered/vehicle_25244/view_02_025244_001.png,web/sensor_noise/recovered/vehicle_25244/view_02.jpg,152,82,95,12273
recovered,25244,3,clean,0.0,recovered/vehicle_25244/view_03_025244_002.png,web/clean/recovered/vehicle_25244/view_03.jpg,144,101,95,4923
recovered,25244,3,illumination,1.0,recovered/vehicle_25244/view_03_025244_002.png,web/illumination/recovered/vehicle_25244/view_03.jpg,144,101,95,3668
recovered,25244,3,motion_blur,0.8,recovered/vehicle_25244/view_03_025244_002.png,web/motion_blur/recovered/vehicle_25244/view_03.jpg,144,101,95,3816
recovered,25244,3,sensor_noise,0.6,recovered/vehicle_25244/view_03_025244_002.png,web/sensor_noise/recovered/vehicle_25244/view_03.jpg,144,101,95,13850
recovered,25244,4,clean,0.0,recovered/vehicle_25244/view_04_025244_003.png,web/clean/recovered/vehicle_25244/view_04.jpg,141,118,95,5739
recovered,25244,4,illumination,1.0,recovered/vehicle_25244/view_04_025244_003.png,web/illumination/recovered/vehicle_25244/view_04.jpg,141,118,95,4263
recovered,25244,4,motion_blur,0.8,recovered/vehicle_25244/view_04_025244_003.png,web/motion_blur/recovered/vehicle_25244/view_04.jpg,141,118,95,4367
recovered,25244,4,sensor_noise,0.6,recovered/vehicle_25244/view_04_025244_003.png,web/sensor_noise/recovered/vehicle_25244/view_04.jpg,141,118,95,15890
recovered,26165,1,clean,0.0,recovered/vehicle_26165/view_01_026165_000.png,web/clean/recovered/vehicle_26165/view_01.jpg,150,108,95,4924
recovered,26165,1,illumination,1.0,recovered/vehicle_26165/view_01_026165_000.png,web/illumination/recovered/vehicle_26165/view_01.jpg,150,108,95,3171
recovered,26165,1,motion_blur,0.8,recovered/vehicle_26165/view_01_026165_000.png,web/motion_blur/recovered/vehicle_26165/view_01.jpg,150,108,95,4167
recovered,26165,1,sensor_noise,0.6,recovered/vehicle_26165/view_01_026165_000.png,web/sensor_noise/recovered/vehicle_26165/view_01.jpg,150,108,95,15451
recovered,26165,2,clean,0.0,recovered/vehicle_26165/view_02_026165_001.png,web/clean/recovered/vehicle_26165/view_02.jpg,145,104,95,4802
recovered,26165,2,illumination,1.0,recovered/vehicle_26165/view_02_026165_001.png,web/illumination/recovered/vehicle_26165/view_02.jpg,145,104,95,3168
