t,sample_id,label,u,c_comm,proxy_acc,cost,G,Y_bw,Q_net,active_views,active_token_ratio_sum,network_state,bandwidth_mbps,effective_bandwidth_mbps,B_t,is_disconnected,comm_delay_ms,e2e_delay_ms,deadline_met,transmission_success,business_available,real_pred,real_conf,real_correct,traj_pred,traj_correct,w_1,w_2,w_3,w_4,v_1,v_2,v_3,v_4,k_1,k_2,k_3,k_4
59,59,0,0,0.0,0.999991774559021,0.3724135863499151,15.809529761786258,0.20000000000000018,0.6776423309064155,3,0.4403233179121039,WEAK,19.862760153005066,16.212946394328522,0.40532365985821306,0,0.0,80.0,1,1,1,0,0.999991774559021,1,0,1,0.2724388837814331,0.052321065217256546,0.5756725668907166,0.0995674654841423,1,0,1,1,0.1,0.0,0.24032331791210385,0.1
60,60,0,1,6.2,0.9999946355819702,0.2877152821739135,13.65707764719593,0.0,0.3097509909945168,3,0.3870262229596193,WEAK,18.03426483581345,14.715653596475946,0.36789133991189865,0,0.0,80.0,1,1,1,0,0.9999946355819702,1,0,1,0.11071867495775223,0.28245383501052856,0.4267505705356598,0.1800769567489624,0,1,1,1,0.0,0.1,0.18702622295961932,0.1
61,61,0,0,0.0,0.9999971389770508,0.48691873795473667,18.657385242530005,3.2,1.3494447425859777,3,0.5034857348848907,WEAK,7.686722932954274,6.412249936341561,0.16030624840853902,0,0.0,80.0,1,1,1,0,0.9999971389770508,1,0,1,0.10204922407865524,0.7804183959960938,0.08713440597057343,0.03039800375699997,1,1,1,0,0.1,0.3034857348848907,0.1,0.0
62,62,0,0,0.0,0.9999932050704956,0.2846378100320976,15.111776473941823,0.20000000000000018,1.145297192046272,3,0.3849507952460512,WEAK,8.725839119726782,8.16590202158823,0.2041475505397058,0,0.0,80.0,1,1,1,0,0.9999932050704956,1,0,1,9.99999993922529e-09,0.41517913341522217,0.28284168243408203,0.3019791841506958,0,1,1,1,0.0,0.1807489587552221,0.1,0.10420183649082909
63,63,0,1,6.2,0.9999862909317017,0.21881950624680904,11.886193422649502,0.0,1.009218081358089,3,0.3375218892795254,WEAK,6.724289286611564,5.443164427527319,0.13607911068818299,0,0.0,80.0,1,1,1,0,0.9999862909317017,1,0,1,0.19183838367462158,0.24281878769397736,0.25736621022224426,0.3079766035079956,0,1,1,1,0.0,0.1,0.1,0.1375218892795254
64,64,0,0,0.0,0.9999910593032837,0.28326526834967797,13.800991471109896,3.2,2.1223591432362108,3,0.3840215450173661,WEAK,4.209642783406748,3.474357524875134,0.08685893812187835,0,0.0,80.0,1,1,1,0,0.9999910593032837,1,0,1,0.08607174456119537,0.19987201690673828,0.3932744860649109,0.32078176736831665,0,1,1,1,0.0,0.1,0.16658029174286756,0.11744125327449853
65,65,0,0,0.0,0.9999922513961792,0.2749233111307185,13.658741947766089,0.20000000000000018,2.009970210315983,3,0.37832471135156,WEAK,5.226829546839303,4.495557316809113,0.11238893292022784,0,0.0,80.0,1,1,1,0,0.9999922513961792,1,0,1,0.29462942481040955,0.09766998887062073,0.4005544185638428,0.2071460634469986,1,0,1,1,0.10272124549684966,0.0,0.1756034658547103,0.1
66,66,0,1,6.2,0.9999971389770508,0.35414931364219293,15.892342793505495,0.0,1.8849365053388412,3,0.4293902004143634,WEAK,5.535823982862318,5.001348199085663,0.12503370497714159,0,0.0,80.0,1,1,1,0,0.9999971389770508,1,0,1,0.36784547567367554,0.12674686312675476,0.5054076910018921,9.99999993922529e-09,1,1,1,0,0.12299809209939197,0.1,0.20639210831497143,0.0
67,67,0,0,0.0,0.999977707862854,0.30942315172056084,15.397519901716317,3.2,2.6585840295166725,3,0.4013611470568693,WEAK,19.492875669097412,17.05409903288675,0.4263524758221688,0,0.0,80.0,1,1,1,0,0.999977707862854,1,0,1,0.0048197186551988125,0.3108729124069214,0.46216028928756714,0.22214707732200623,0,1,1,1,0.0,0.10162083544613554,0.19974031161073383,0.1
68,68,0,0,0.0,0.9999974966049194,0.3390202593256228,13.960425318564319,0.20000000000000018,1.6354325968005659,3,0.42011844790425823,GOOD,41.11490301665612,40.92605730864426,1.0231514327161066,0,0.0,80.0,1,1,1,0,0.9999974966049194,1,0,1,0.14299562573432922,0.5166478157043457,0.16841833293437958,0.17193827033042908,0,1,1,1,0.0,0.2201184479042582,0.1,0.1
69,69,0,1,6.2,0.9999961853027344,0.2234317823796671,11.756191695917357,0.0,0.0,3,0.3410604820031923,GOOD,94.2126938890286,93.98313051974257,2.3495782629935644,0,0.0,80.0,1,1,1,0,0.9999961853027344,1,0,1,0.20134791731834412,0.3074667751789093,0.22076678276062012,0.27041858434677124,0,1,1,1,0.0,0.13466841965279183,0.1,0.10639206235040044
70,70,0,0,0.0,0.9999918937683105,0.3271279297901101,14.780118446756035,3.2,0.0,3,0.4126841023860721,GOOD,95.54099485143092,94.43058567203782,2.360764641800946,0,0.0,80.0,1,1,1,0,0.9999918937683105,1,0,1,0.2398214340209961,0.07001412659883499,0.19444531202316284,0.49571913480758667,1,0,1,1,0.1,0.0,0.1,0.21268410238607213
